0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,79.0,10.0,53.0,23.0,27.0,26.0,94.0,-4.0,80.0,-8.0,54.0,-2.0,60.0,-1.0,23.0,1.0,9.0,4.0,69.0,-7.0,46.0,-12.0,48.0,-17.0,92.6,0.2,45.0
1.0,104.0,12.0,123.0,7.0,129.0,14.0,74.0,2.0,75.0,1.0,106.0,17.0,85.0,5.0,111.0,8.0,38.0,21.0,79.0,8.0,55.0,5.0,11.0,-6.0,98.8,2.6,46.0
1.0,51.0,-1.0,45.0,-7.0,61.0,-8.0,55.0,4.0,57.0,0.0,51.0,-1.0,61.0,-1.0,124.0,-30.0,231.0,-71.0,47.0,0.0,22.0,-21.0,6.0,-11.0,53.8,0.0,47.0
1.0,37.0,-19.0,49.0,-26.0,62.0,-34.0,45.0,-2.0,52.0,10.0,47.0,8.0,70.0,-16.0,66.0,-20.0,91.0,-34.0,61.0,-16.0,35.0,-4.0,-10.0,16.0,31.8,-0.8,48.0
1.0,17.0,9.0,23.0,22.0,43.0,0.0,57.0,15.0,78.0,-13.0,101.0,-105.0,33.0,-1.0,-12.0,-3.0,-20.0,10.0,72.0,-4.0,112.0,-21.0,160.0,-36.0,16.0,15.0,49.0
1.0,10.0,13.0,-3.0,9.0,-47.0,10.0,34.0,3.0,28.0,-3.0,96.0,-137.0,-1.0,-3.0,25.0,-17.0,22.0,3.0,21.0,1.0,45.0,-14.0,81.0,-52.0,19.4,9.8,50.0
1.0,46.0,10.0,40.0,6.0,14.0,30.0,34.0,0.0,27.0,-11.0,14.0,-29.0,19.0,2.0,-4.0,-1.0,-4.0,4.0,17.0,-7.0,1.0,-17.0,-16.0,-20.0,35.2,2.0,51.0
1.0,49.0,-1.0,79.0,-9.0,106.0,-23.0,-1.0,-2.0,-10.0,-7.0,-97.0,5.0,18.0,-13.0,0.0,25.0,6.0,8.0,-6.0,-20.0,13.0,1.0,15.0,-8.0,13.8,3.8,52.0
1.0,4.0,-3.0,10.0,-8.0,-70.0,131.0,-45.0,2.0,-77.0,-3.0,-164.0,156.0,-4.0,1.0,-13.0,2.0,-66.0,28.0,-15.0,4.0,-7.0,-3.0,12.0,-20.0,-30.6,-3.6,53.0
1.0,-74.0,0.0,-93.0,17.0,-42.0,80.0,-80.0,5.0,-116.0,26.0,-35.0,83.0,-69.0,0.0,-65.0,-10.0,-35.0,-4.0,-78.0,5.0,-61.0,-16.0,-14.0,-1.0,-81.0,-17.2,54.0
1.0,-40.0,-1.0,-75.0,7.0,-48.0,-44.0,-83.0,-10.0,-108.0,-3.0,-76.0,-43.0,-40.0,15.0,-63.0,35.0,3.0,14.0,-94.0,15.0,-156.0,53.0,-102.0,68.0,-67.8,-5.0,55.0
1.0,-44.0,-6.0,-50.0,-1.0,-63.0,26.0,-67.0,-9.0,-54.0,2.0,-57.0,21.0,-34.0,-7.0,25.0,-8.0,-4.0,-22.0,-49.0,-6.0,-85.0,9.0,-262.0,13.0,-58.8,-8.6,56.0
1.0,-63.0,6.0,-37.0,-19.0,-127.0,-146.0,-86.0,-3.0,-52.0,-41.0,-141.0,-169.0,-47.0,12.0,-51.0,3.0,-21.0,9.0,-76.0,8.0,-52.0,-8.0,-30.0,-6.0,-82.8,1.0,57.0
1.0,-95.0,-5.0,-86.0,-1.0,12.0,-58.0,-51.0,5.0,-35.0,12.0,38.0,-53.0,-104.0,5.0,-101.0,4.0,-102.0,13.0,-57.0,10.0,-51.0,15.0,-16.0,-3.0,-47.6,9.0,58.0
1.0,-76.0,-12.0,-63.0,-3.0,-40.0,-3.0,-42.0,-9.0,-28.0,-9.0,16.0,-8.0,-95.0,-16.0,-135.0,11.0,-250.0,22.0,-52.0,-18.0,-4.0,-9.0,14.0,11.0,-47.2,-4.4,59.0
1.0,-96.0,-3.0,-83.0,-3.0,-83.0,15.0,-65.0,-5.0,-59.0,5.0,-65.0,6.0,-79.0,5.0,-76.0,-6.0,-45.0,-23.0,-66.0,4.0,-48.0,7.0,-14.0,9.0,-77.8,-1.6,60.0
1.0,-95.0,-3.0,-126.0,0.0,-146.0,17.0,-46.0,9.0,-37.0,19.0,-122.0,109.0,-62.0,12.0,-41.0,-5.0,-9.0,10.0,-54.0,19.0,-111.0,0.0,-97.0,28.0,-68.2,3.2,61.0
1.0,-38.0,5.0,-44.0,4.0,-52.0,-11.0,-29.0,8.0,-50.0,18.0,-31.0,139.0,-27.0,-2.0,-15.0,-15.0,-11.0,-20.0,-23.0,1.0,-23.0,-12.0,-120.0,-53.0,-20.2,3.4,62.0
1.0,2.0,1.0,18.0,-9.0,33.0,-22.0,6.0,-5.0,8.0,-2.0,33.0,15.0,-4.0,-4.0,-2.0,-12.0,-13.0,7.0,-1.0,-7.0,16.0,-9.0,38.0,9.0,23.6,-1.4,63.0
1.0,27.0,9.0,4.0,9.0,-3.0,9.0,38.0,-11.0,45.0,-5.0,38.0,-1.0,-3.0,-6.0,-9.0,5.0,-20.0,-1.0,7.0,-12.0,13.0,3.0,2.0,-4.0,43.6,-1.4,64.0
1.0,27.0,9.0,27.0,-1.0,43.0,-12.0,9.0,-1.0,29.0,-10.0,38.0,-3.0,44.0,-14.0,46.0,-32.0,2.0,-75.0,30.0,-8.0,12.0,-23.0,-6.0,-9.0,27.6,0.8,65.0
1.0,53.0,-12.0,81.0,-23.0,83.0,-43.0,18.0,7.0,-2.0,-9.0,127.0,-150.0,64.0,-14.0,95.0,1.0,176.0,-32.0,47.0,-8.0,22.0,12.0,-6.0,15.0,33.8,10.4,66.0
1.0,66.0,2.0,81.0,3.0,138.0,27.0,41.0,14.0,35.0,8.0,-17.0,-81.0,48.0,1.0,38.0,-13.0,-6.0,-13.0,45.0,-4.0,52.0,-4.0,41.0,10.0,34.4,15.2,67.0
1.0,68.0,-4.0,51.0,-2.0,20.0,-19.0,32.0,-5.0,16.0,-12.0,11.0,-31.0,57.0,-17.0,7.0,-9.0,-5.0,16.0,55.0,-8.0,125.0,13.0,222.0,-12.0,60.8,-1.8,68.0
1.0,84.0,0.0,57.0,2.0,39.0,8.0,90.0,-10.0,74.0,-4.0,39.0,2.0,86.0,11.0,52.0,17.0,3.0,4.0,79.0,9.0,62.0,0.0,62.0,8.0,97.4,-13.0,69.0
1.0,49.0,11.0,83.0,21.0,86.0,29.0,99.0,6.0,129.0,13.0,190.0,49.0,63.0,27.0,148.0,21.0,145.0,29.0,64.0,26.0,59.0,7.0,-2.0,10.0,63.2,3.2,70.0
1.0,49.0,-11.0,32.0,-14.0,23.0,-14.0,60.0,-4.0,82.0,17.0,122.0,87.0,53.0,-2.0,96.0,9.0,203.0,-2.0,55.0,-6.0,-1.0,8.0,-12.0,9.0,38.2,-3.4,71.0
1.0,44.0,-10.0,62.0,-17.0,62.0,-23.0,58.0,12.0,88.0,19.0,-66.0,160.0,70.0,-11.0,32.0,-34.0,9.0,-33.0,88.0,-9.0,76.0,-24.0,33.0,14.0,38.6,8.8,72.0
1.0,8.0,-2.0,1.0,22.0,38.0,20.0,60.0,9.0,26.0,-2.0,4.0,-4.0,23.0,-6.0,-9.0,-6.0,7.0,19.0,51.0,-3.0,113.0,-29.0,182.0,-25.0,34.6,4.0,73.0
1.0,49.0,23.0,26.0,20.0,-59.0,27.0,54.0,6.0,4.0,-5.0,25.0,-6.0,10.0,16.0,7.0,13.0,-1.0,6.0,18.0,-1.0,33.0,11.0,59.0,-40.0,45.6,-1.4,74.0
1.0,49.0,-11.0,53.0,-18.0,71.0,0.0,43.0,-9.0,34.0,-13.0,34.0,-6.0,35.0,-3.0,18.0,-6.0,-8.0,-6.0,26.0,-1.0,6.0,-4.0,2.0,-2.0,51.6,-1.2,75.0
1.0,39.0,10.0,57.0,10.0,96.0,216.0,-5.0,-3.0,-25.0,-1.0,-1.0,-22.0,13.0,9.0,-5.0,41.0,-18.0,58.0,6.0,4.0,0.0,11.0,4.0,5.0,9.2,0.2,76.0
1.0,-15.0,11.0,-16.0,20.0,-75.0,32.0,-52.0,-5.0,-55.0,-2.0,-76.0,13.0,-14.0,7.0,-10.0,25.0,0.0,47.0,-37.0,5.0,-15.0,9.0,7.0,-4.0,-39.4,-10.2,77.0
1.0,-35.0,-24.0,-48.0,-24.0,-89.0,-184.0,-93.0,-7.0,-65.0,-25.0,-110.0,-198.0,-57.0,1.0,-39.0,-4.0,-21.0,3.0,-82.0,5.0,-90.0,13.0,-34.0,11.0,-80.0,-15.6,78.0
1.0,-31.0,4.0,-9.0,-9.0,87.0,-83.0,-62.0,0.0,-22.0,4.0,72.0,-77.0,-16.0,-2.0,12.0,6.0,28.0,-29.0,-65.0,-2.0,-144.0,24.0,-205.0,25.0,-65.0,-3.0,79.0
1.0,-71.0,-13.0,-82.0,-16.0,-91.0,-12.0,-65.0,-17.0,-73.0,-28.0,-87.0,-17.0,-63.0,-13.0,-61.0,-4.0,-10.0,12.0,-58.0,-9.0,-35.0,-5.0,-101.0,9.0,-59.4,-1.0,80.0
1.0,-85.0,13.0,-98.0,31.0,-131.0,67.0,-56.0,6.0,-72.0,23.0,-83.0,41.0,-88.0,34.0,-80.0,12.0,-96.0,36.0,-45.0,38.0,-38.0,20.0,9.0,11.0,-42.8,4.6,81.0
1.0,-65.0,1.0,-59.0,-4.0,-52.0,-17.0,-43.0,4.0,-43.0,-5.0,-68.0,3.0,-59.0,-5.0,-109.0,8.0,-212.0,0.0,-49.0,-10.0,-38.0,-10.0,-8.0,-4.0,-54.0,1.4,82.0
1.0,-85.0,-12.0,-69.0,-1.0,-92.0,65.0,-69.0,-11.0,-53.0,3.0,-100.0,83.0,-88.0,-14.0,-87.0,-11.0,-90.0,-18.0,-83.0,-15.0,-25.0,-20.0,4.0,-1.0,-78.0,-5.4,83.0
1.0,-82.0,2.0,-83.0,-3.0,-86.0,-68.0,-76.0,24.0,-90.0,35.0,-63.0,144.0,-79.0,8.0,-63.0,3.0,-3.0,0.0,-74.0,13.0,-101.0,19.0,-54.0,41.0,-85.0,1.0,84.0
1.0,-50.0,2.0,-78.0,3.0,-81.0,13.0,-45.0,-5.0,-58.0,-10.0,-8.0,1.0,-22.0,0.0,15.0,-20.0,7.0,-20.0,-30.0,3.0,-85.0,-14.0,-221.0,-63.0,-45.4,0.0,85.0
1.0,-43.0,0.0,-11.0,-2.0,29.0,184.0,-41.0,-6.0,-46.0,-11.0,-61.0,-5.0,-56.0,-14.0,-48.0,1.0,-2.0,18.0,-44.0,-18.0,-53.0,2.0,-57.0,-3.0,-34.0,-0.6,86.0
1.0,-54.0,0.0,-86.0,-3.0,-114.0,-180.0,-9.0,-10.0,-29.0,-4.0,-11.0,-15.0,-60.0,-5.0,-116.0,-25.0,-106.0,2.0,-45.0,-10.0,-13.0,-34.0,1.0,-5.0,-11.4,5.0,87.0
1.0,-19.0,6.0,-27.0,4.0,-19.0,-30.0,5.0,6.0,32.0,4.0,10.0,40.0,-19.0,-1.0,-19.0,-14.0,-131.0,-81.0,0.0,-1.0,17.0,-4.0,-5.0,-15.0,-1.6,1.0,88.0
1.0,-18.0,-3.0,-3.0,-26.0,43.0,-36.0,-2.0,-4.0,50.0,-21.0,68.0,-112.0,11.0,-13.0,60.0,-29.0,154.0,-48.0,10.0,-9.0,-1.0,-13.0,-7.0,-27.0,-4.0,5.8,89.0
1.0,16.0,4.0,24.0,-2.0,14.0,-29.0,-2.0,17.0,-14.0,21.0,90.0,-108.0,35.0,-12.0,16.0,-13.0,-18.0,3.0,28.0,-2.0,40.0,-5.0,-2.0,18.0,-7.6,25.6,90.0
1.0,54.0,15.0,69.0,19.0,93.0,8.0,2.0,6.0,-28.0,-5.0,-70.0,-12.0,39.0,-4.0,27.0,15.0,-31.0,11.0,24.0,3.0,56.0,26.0,140.0,11.0,51.4,-1.6,91.0
1.0,92.0,-14.0,87.0,-16.0,99.0,8.0,11.0,-9.0,21.0,-6.0,17.0,-37.0,56.0,-3.0,25.0,-1.0,13.0,-7.0,23.0,-9.0,53.0,3.0,76.0,30.0,68.2,-13.0,92.0
1.0,58.0,4.0,59.0,11.0,31.0,19.0,99.0,-4.0,87.0,8.0,60.0,21.0,77.0,11.0,83.0,26.0,34.0,11.0,92.0,14.0,35.0,16.0,12.0,-1.0,70.0,-5.4,93.0
1.0,58.0,-6.0,64.0,-5.0,74.0,-1.0,67.0,-1.0,97.0,9.0,182.0,43.0,57.0,23.0,144.0,-2.0,237.0,3.0,38.0,18.0,11.0,-11.0,-25.0,-26.0,47.4,-3.8,94.0
1.0,82.0,-15.0,77.0,-20.0,47.0,-27.0,57.0,-7.0,78.0,1.0,56.0,99.0,91.0,-24.0,85.0,5.0,150.0,19.0,63.0,-27.0,30.0,4.0,22.0,9.0,73.2,-10.2,95.0
1.0,72.0,3.0,80.0,16.0,136.0,19.0,118.0,19.0,133.0,40.0,26.0,112.0,61.0,10.0,57.0,-4.0,12.0,-3.0,107.0,13.0,125.0,6.0,74.0,58.0,73.8,17.4,96.0
1.0,36.0,10.0,23.0,10.0,27.0,12.0,65.0,4.0,64.0,-4.0,48.0,16.0,55.0,4.0,8.0,-3.0,-17.0,14.0,81.0,5.0,156.0,-7.0,242.0,-43.0,56.0,6.4,97.0
1.0,73.0,5.0,37.0,8.0,-38.0,27.0,107.0,-5.0,78.0,-18.0,75.0,-14.0,62.0,7.0,32.0,10.0,18.0,5.0,79.0,2.0,63.0,-19.0,97.0,-21.0,94.0,-2.4,98.0
1.0,52.0,16.0,76.0,14.0,78.0,17.0,76.0,6.0,28.0,-14.0,40.0,-16.0,33.0,0.0,42.0,-15.0,69.0,3.0,34.0,-11.0,45.0,-20.0,9.0,-3.0,63.6,4.4,99.0
1.0,12.0,4.0,8.0,8.0,-2.0,7.0,-15.0,3.0,-30.0,8.0,-22.0,-8.0,3.0,19.0,12.0,38.0,26.0,58.0,-2.0,14.0,-32.0,22.0,-7.0,17.0,-13.2,3.0,100.0
1.0,-5.0,-11.0,13.0,0.0,7.0,-15.0,-68.0,-6.0,-88.0,2.0,-122.0,16.0,11.0,-3.0,-7.0,16.0,-31.0,9.0,-16.0,2.0,-19.0,-3.0,-5.0,-9.0,-63.6,-15.8,101.0
1.0,-16.0,-10.0,-32.0,-14.0,-71.0,21.0,-92.0,-4.0,-45.0,-26.0,-65.0,-228.0,-53.0,-4.0,-35.0,-3.0,-7.0,2.0,-83.0,0.0,-55.0,25.0,-32.0,-3.0,-67.0,-10.6,102.0
