0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1.0,0.0,47.0,-3.0,45.0,-9.0,21.0,0.0,42.0,-5.0,43.0,-11.0,38.0,-6.0,44.0,-8.0,42.0,1.0,10.0,1.0,35.0,-6.0,22.0,-4.0,5.0,-9.0,46.8,-7.6,26.0
1.0,0.0,27.0,-1.0,42.0,-3.0,18.0,-6.0,24.0,4.0,21.0,1.0,32.0,40.0,31.0,7.0,88.0,-6.0,128.0,-8.0,25.0,4.0,46.0,-8.0,19.0,-5.0,19.0,5.6,27.0
1.0,0.0,63.0,-10.0,82.0,-22.0,105.0,-29.0,35.0,0.0,30.0,6.0,49.0,-24.0,70.0,-7.0,83.0,7.0,141.0,-9.0,50.0,-11.0,-8.0,14.0,-32.0,3.0,49.4,-5.0,28.0
1.0,0.0,59.0,13.0,64.0,8.0,114.0,20.0,47.0,5.0,38.0,-1.0,88.0,-123.0,28.0,13.0,31.0,-8.0,-9.0,-1.0,32.0,12.0,57.0,-4.0,41.0,34.0,50.8,12.2,29.0
1.0,0.0,43.0,5.0,12.0,9.0,-21.0,-9.0,46.0,-3.0,14.0,-18.0,-36.0,-46.0,52.0,-10.0,12.0,7.0,-6.0,6.0,62.0,-5.0,141.0,7.0,170.0,-30.0,52.8,4.2,30.0
1.0,0.0,64.0,-6.0,44.0,6.0,8.0,6.0,70.0,-17.0,62.0,-16.0,33.0,-8.0,58.0,-7.0,9.0,-2.0,6.0,5.0,60.0,-13.0,42.0,-20.0,123.0,-8.0,75.0,-10.2,31.0
1.0,0.0,77.0,14.0,90.0,10.0,121.0,12.0,84.0,12.0,74.0,14.0,91.0,14.0,83.0,8.0,85.0,14.0,27.0,8.0,83.0,14.0,46.0,20.0,17.0,-3.0,80.4,10.6,32.0
1.0,0.0,44.0,1.0,39.0,2.0,30.0,-1.0,70.0,-2.0,96.0,2.0,123.0,9.0,35.0,-3.0,74.0,-29.0,149.0,-34.0,39.0,-9.0,41.0,-23.0,23.0,-4.0,50.0,2.8,33.0
1.0,0.0,2.0,-15.0,4.0,-22.0,-16.0,-17.0,30.0,1.0,56.0,-11.0,86.0,-14.0,34.0,-5.0,47.0,-24.0,88.0,-9.0,46.0,-5.0,12.0,-23.0,3.0,6.0,3.2,3.0,34.0
1.0,0.0,2.0,0.0,4.0,7.0,24.0,-8.0,24.0,13.0,48.0,5.0,-16.0,71.0,22.0,-7.0,6.0,-2.0,-9.0,-10.0,37.0,-4.0,81.0,4.0,53.0,10.0,-2.6,9.0,35.0
1.0,0.0,7.0,2.0,5.0,6.0,-18.0,14.0,5.0,15.0,-15.0,22.0,-91.0,145.0,-1.0,3.0,6.0,-12.0,8.0,-13.0,6.0,7.0,14.0,-28.0,79.0,-80.0,9.8,4.6,36.0
1.0,0.0,43.0,21.0,38.0,18.0,21.0,32.0,29.0,3.0,-23.0,1.0,6.0,16.0,12.0,8.0,6.0,16.0,-4.0,6.0,7.0,-1.0,-19.0,12.0,-14.0,-3.0,32.6,2.2,37.0
1.0,0.0,66.0,7.0,86.0,5.0,104.0,194.0,11.0,-9.0,-5.0,-8.0,13.0,-21.0,40.0,-9.0,9.0,19.0,1.0,9.0,27.0,-14.0,35.0,-12.0,23.0,3.0,24.4,-4.4,38.0
1.0,0.0,19.0,-1.0,-22.0,11.0,-16.0,-44.0,-33.0,2.0,-61.0,10.0,-42.0,-43.0,4.0,3.0,-17.0,5.0,-30.0,39.0,-21.0,2.0,-6.0,-3.0,6.0,-6.0,-17.8,-1.4,39.0
1.0,0.0,-60.0,-13.0,-63.0,-2.0,-66.0,-14.0,-76.0,-7.0,-60.0,0.0,-69.0,-17.0,-53.0,6.0,-32.0,3.0,-19.0,-7.0,-73.0,10.0,-68.0,14.0,-13.0,6.0,-60.6,-12.6,40.0
1.0,0.0,-51.0,-7.0,-44.0,-26.0,-95.0,7.0,-47.0,1.0,-41.0,3.0,-90.0,27.0,-52.0,-2.0,-59.0,10.0,-12.0,6.0,-55.0,6.0,-103.0,28.0,-89.0,30.0,-52.2,-1.2,41.0
1.0,0.0,-62.0,-2.0,-24.0,-3.0,-24.0,-131.0,-53.0,-17.0,-11.0,-41.0,-18.0,-162.0,-36.0,6.0,8.0,-9.0,18.0,-12.0,-41.0,0.0,-77.0,5.0,-221.0,8.0,-44.4,-2.8,42.0
1.0,0.0,-55.0,-5.0,-49.0,-12.0,35.0,-62.0,-55.0,-5.0,-37.0,-2.0,42.0,-57.0,-66.0,2.0,-35.0,2.0,-23.0,12.0,-69.0,0.0,-42.0,-5.0,-22.0,-4.0,-50.4,-2.2,43.0
1.0,0.0,-85.0,2.0,-87.0,2.0,-138.0,32.0,-41.0,2.0,-38.0,0.0,-9.0,13.0,-83.0,-7.0,-101.0,-6.0,-125.0,23.0,-48.0,-9.0,-32.0,-4.0,-13.0,0.0,-60.2,1.6,44.0
1.0,0.0,-56.0,3.0,-55.0,8.0,-55.0,2.0,-56.0,0.0,-52.0,1.0,-58.0,1.0,-57.0,-2.0,-110.0,25.0,-214.0,-7.0,-53.0,1.0,-27.0,5.0,21.0,0.0,-57.6,-1.4,45.0
1.0,0.0,-95.0,-13.0,-96.0,-8.0,-91.0,-3.0,-86.0,3.0,-81.0,9.0,-75.0,17.0,-85.0,-2.0,-69.0,-18.0,-39.0,-7.0,-85.0,-3.0,-63.0,4.0,-20.0,9.0,-89.0,-3.4,46.0
1.0,0.0,-77.0,1.0,-87.0,10.0,-89.0,8.0,-76.0,7.0,-74.0,15.0,-89.0,11.0,-61.0,10.0,-72.0,-2.0,6.0,-3.0,-63.0,15.0,-137.0,7.0,-145.0,28.0,-81.4,1.2,47.0
1.0,0.0,-39.0,3.0,-34.0,0.0,-31.0,10.0,-49.0,-11.0,-43.0,-22.0,-156.0,17.0,-41.0,1.0,25.0,11.0,5.0,1.0,-54.0,2.0,-82.0,4.0,-210.0,-37.0,-46.6,-8.6,48.0
1.0,0.0,-59.0,3.0,-58.0,-5.0,-82.0,-12.0,-70.0,6.0,-121.0,25.0,-57.0,149.0,-84.0,-1.0,-80.0,0.0,-35.0,17.0,-76.0,1.0,-43.0,-1.0,-9.0,4.0,-54.4,8.8,49.0
1.0,0.0,-77.0,4.0,-96.0,-2.0,-66.0,3.0,-18.0,-4.0,-44.0,-22.0,-37.0,6.0,-73.0,-8.0,-130.0,-12.0,-181.0,-18.0,-55.0,-13.0,-20.0,-13.0,9.0,3.0,-43.2,2.0,50.0
1.0,0.0,-69.0,1.0,-63.0,0.0,-66.0,-22.0,-42.0,2.0,-23.0,2.0,-34.0,6.0,-49.0,-15.0,-70.0,-23.0,-161.0,-58.0,-26.0,-14.0,9.0,-18.0,-9.0,7.0,-46.6,0.6,51.0
1.0,0.0,-97.0,-4.0,-117.0,-11.0,-100.0,-26.0,-95.0,14.0,-46.0,28.0,-68.0,35.0,-68.0,-8.0,-41.0,-30.0,19.0,-3.0,-67.0,5.0,-55.0,3.0,-20.0,-4.0,-87.4,8.8,52.0
1.0,0.0,-37.0,4.0,-38.0,-6.0,-55.0,2.0,-37.0,8.0,-4.0,12.0,-18.0,1.0,-21.0,-8.0,-14.0,-7.0,-17.0,-10.0,-18.0,-5.0,-28.0,0.0,-49.0,-7.0,-31.6,4.8,53.0
1.0,0.0,43.0,3.0,61.0,-5.0,91.0,-12.0,7.0,-12.0,4.0,-15.0,47.0,-5.0,30.0,4.0,9.0,10.0,-7.0,-1.0,12.0,3.0,2.0,4.0,25.0,7.0,42.0,-1.6,54.0
1.0,0.0,78.0,9.0,92.0,33.0,113.0,26.0,59.0,-10.0,22.0,4.0,131.0,-105.0,54.0,7.0,52.0,17.0,14.0,15.0,50.0,2.0,36.0,-5.0,11.0,-2.0,75.0,-9.4,55.0
1.0,0.0,78.0,1.0,88.0,-3.0,91.0,6.0,51.0,-1.0,37.0,-18.0,-21.0,-111.0,63.0,12.0,89.0,13.0,88.0,7.0,42.0,4.0,48.0,9.0,-4.0,-10.0,46.4,-3.4,56.0
1.0,0.0,66.0,-10.0,40.0,-16.0,36.0,-2.0,12.0,3.0,3.0,-3.0,-3.0,-7.0,62.0,4.0,118.0,22.0,204.0,26.0,15.0,3.0,-5.0,26.0,1.0,13.0,46.2,-2.8,57.0
1.0,0.0,71.0,-5.0,93.0,2.0,87.0,-2.0,65.0,0.0,76.0,4.0,78.0,1.0,67.0,4.0,54.0,-2.0,57.0,3.0,63.0,0.0,33.0,-7.0,10.0,5.0,66.2,-0.6,58.0
1.0,0.0,61.0,1.0,67.0,1.0,101.0,12.0,74.0,-2.0,77.0,2.0,115.0,17.0,57.0,-4.0,40.0,-17.0,-4.0,-11.0,81.0,-7.0,145.0,-6.0,180.0,23.0,55.2,5.6,59.0
1.0,0.0,38.0,-1.0,39.0,7.0,-15.0,-6.0,99.0,0.0,107.0,13.0,118.0,55.0,60.0,13.0,12.0,21.0,0.0,23.0,93.0,24.0,103.0,17.0,165.0,18.0,62.4,-4.6,60.0
1.0,0.0,66.0,5.0,44.0,4.0,13.0,17.0,87.0,4.0,96.0,-11.0,17.0,119.0,59.0,0.0,65.0,10.0,26.0,7.0,68.0,-3.0,31.0,6.0,9.0,-3.0,82.6,1.6,61.0
1.0,0.0,51.0,-2.0,45.0,-1.0,68.0,5.0,50.0,-1.0,53.0,5.0,30.0,31.0,55.0,-1.0,69.0,-1.0,90.0,7.0,42.0,1.0,42.0,-8.0,2.0,-9.0,48.4,-10.8,62.0
1.0,0.0,41.0,-10.0,46.0,-13.0,62.0,-8.0,26.0,-3.0,21.0,-4.0,50.0,-39.0,39.0,1.0,85.0,-5.0,166.0,-26.0,28.0,-1.0,-14.0,4.0,-7.0,1.0,42.4,-3.0,63.0
1.0,0.0,59.0,0.0,78.0,2.0,94.0,-16.0,58.0,7.0,82.0,20.0,68.0,-2.0,72.0,7.0,57.0,-1.0,32.0,-7.0,78.0,10.0,62.0,7.0,22.0,8.0,40.6,9.4,64.0
1.0,0.0,44.0,3.0,46.0,0.0,47.0,-3.0,47.0,10.0,40.0,8.0,26.0,46.0,32.0,-13.0,10.0,-18.0,-2.0,3.0,43.0,-16.0,120.0,-19.0,145.0,-17.0,42.8,8.6,65.0
1.0,0.0,37.0,3.0,10.0,8.0,-10.0,5.0,62.0,-9.0,52.0,-12.0,48.0,6.0,43.0,-7.0,18.0,-6.0,20.0,3.0,54.0,-6.0,87.0,-16.0,181.0,-24.0,51.4,0.0,66.0
1.0,0.0,61.0,7.0,42.0,12.0,23.0,22.0,102.0,-15.0,97.0,-40.0,121.0,-137.0,66.0,7.0,48.0,9.0,10.0,11.0,80.0,-2.0,39.0,-15.0,-4.0,0.0,79.4,6.0,67.0
1.0,0.0,49.0,9.0,63.0,8.0,52.0,11.0,46.0,2.0,47.0,9.0,90.0,-121.0,22.0,1.0,34.0,5.0,70.0,-7.0,32.0,2.0,21.0,-4.0,12.0,-8.0,44.2,5.0,68.0
1.0,0.0,-4.0,5.0,15.0,14.0,13.0,-2.0,-21.0,11.0,-18.0,5.0,-12.0,2.0,6.0,-3.0,12.0,5.0,-3.0,16.0,-4.0,-1.0,-5.0,1.0,9.0,-4.0,-22.2,-0.2,69.0
1.0,0.0,-32.0,-28.0,-17.0,-33.0,-21.0,-14.0,-62.0,4.0,-63.0,2.0,-60.0,20.0,-21.0,-4.0,-21.0,-5.0,-20.0,-3.0,-34.0,-4.0,-16.0,0.0,-7.0,-1.0,-62.4,-8.8,70.0
1.0,0.0,-35.0,-8.0,-53.0,-5.0,-53.0,-7.0,-56.0,-7.0,-54.0,-14.0,-90.0,-15.0,-58.0,-4.0,-36.0,-2.0,-3.0,1.0,-71.0,-2.0,-77.0,4.0,-21.0,3.0,-50.0,-10.2,71.0
1.0,0.0,19.0,21.0,33.0,4.0,-17.0,36.0,-61.0,5.0,-83.0,7.0,-168.0,44.0,14.0,7.0,1.0,9.0,2.0,-4.0,-47.0,8.0,-102.0,20.0,-160.0,-6.0,-36.8,2.0,72.0
1.0,0.0,-64.0,1.0,-100.0,14.0,-75.0,129.0,-56.0,-8.0,-102.0,3.0,-77.0,135.0,-54.0,-2.0,-41.0,-1.0,-3.0,7.0,-48.0,1.0,-67.0,1.0,-133.0,11.0,-50.0,-6.8,73.0
1.0,0.0,-60.0,4.0,-94.0,12.0,-53.0,-21.0,-79.0,16.0,-113.0,21.0,-57.0,-8.0,-67.0,19.0,-72.0,7.0,-31.0,7.0,-75.0,15.0,-46.0,-1.0,-6.0,-7.0,-72.6,7.6,74.0
1.0,0.0,-61.0,-7.0,-52.0,-3.0,-50.0,22.0,-46.0,-12.0,-40.0,-11.0,-44.0,15.0,-70.0,-17.0,-86.0,-15.0,-171.0,-7.0,-56.0,-18.0,-23.0,-17.0,3.0,-2.0,-49.2,0.6,75.0
1.0,0.0,-38.0,-1.0,-39.0,2.0,-39.0,0.0,-55.0,-5.0,-49.0,3.0,-50.0,0.0,-36.0,12.0,-73.0,27.0,-143.0,24.0,-46.0,9.0,-23.0,16.0,8.0,4.0,-42.2,-3.4,76.0
1.0,0.0,-81.0,5.0,-49.0,6.0,-56.0,-33.0,-60.0,7.0,-33.0,16.0,-45.0,-22.0,-87.0,6.0,-54.0,7.0,-2.0,5.0,-67.0,10.0,-53.0,18.0,-23.0,15.0,-57.4,-1.8,77.0
1.0,0.0,-80.0,-1.0,-89.0,-12.0,-116.0,-104.0,-38.0,3.0,-43.0,-24.0,-81.0,-110.0,-52.0,-4.0,-67.0,-17.0,4.0,-17.0,-37.0,1.0,-124.0,-4.0,-120.0,28.0,-59.4,2.8,78.0
1.0,0.0,-70.0,-6.0,-37.0,-19.0,-18.0,-21.0,-28.0,-5.0,-12.0,-10.0,-5.0,-25.0,-62.0,-12.0,14.0,-9.0,-6.0,17.0,-36.0,-18.0,-50.0,-21.0,-184.0,-56.0,-42.0,-1.4,79.0
1.0,0.0,-52.0,3.0,-70.0,0.0,-80.0,-4.0,-43.0,-12.0,-60.0,-4.0,-13.0,111.0,-74.0,-5.0,-128.0,-15.0,-70.0,6.0,-64.0,-9.0,-17.0,-7.0,14.0,6.0,-35.0,5.8,80.0
1.0,0.0,-62.0,-1.0,-72.0,-4.0,-57.0,-5.0,-18.0,9.0,24.0,8.0,-11.0,100.0,-45.0,-1.0,-59.0,-9.0,-186.0,-68.0,-28.0,2.0,-3.0,-7.0,-3.0,-7.0,-32.6,4.4,81.0
1.0,0.0,-63.0,3.0,-50.0,-4.0,-15.0,-22.0,-52.0,9.0,-28.0,5.0,-4.0,-61.0,-30.0,-9.0,-18.0,-18.0,-7.0,-13.0,-32.0,1.0,-20.0,-2.0,-4.0,13.0,-53.6,6.6,82.0
1.0,0.0,-28.0,1.0,-22.0,-1.0,-46.0,-9.0,-52.0,-5.0,-67.0,-1.0,6.0,-130.0,-20.0,-6.0,-17.0,2.0,-6.0,-1.0,-26.0,-3.0,-30.0,1.0,-17.0,-1.0,-41.6,4.4,83.0
1.0,0.0,31.0,3.0,40.0,-6.0,54.0,-3.0,-24.0,-1.0,-49.0,-4.0,-104.0,-42.0,16.0,-6.0,14.0,0.0,-10.0,-2.0,-7.0,0.0,15.0,27.0,16.0,41.0,23.6,-6.0,84.0
1.0,0.0,68.0,-3.0,64.0,1.0,99.0,20.0,38.0,-2.0,45.0,-3.0,76.0,18.0,40.0,1.0,29.0,4.0,2.0,5.0,32.0,-8.0,21.0,-4.0,14.0,-6.0,60.4,-9.0,85.0
1.0,0.0,60.0,-2.0,69.0,14.0,59.0,4.0,67.0,-2.0,80.0,28.0,116.0,44.0,70.0,14.0,98.0,20.0,45.0,18.0,71.0,15.0,54.0,4.0,11.0,-11.0,51.2,-4.8,86.0
1.0,0.0,37.0,-5.0,41.0,-10.0,5.0,-8.0,68.0,3.0,84.0,-7.0,41.0,120.0,43.0,11.0,85.0,-3.0,209.0,-7.0,39.0,4.0,-12.0,-4.0,2.0,-3.0,37.8,1.4,87.0
1.0,0.0,63.0,-11.0,46.0,-9.0,52.0,-13.0,53.0,0.0,82.0,16.0,67.0,-5.0,63.0,-2.0,58.0,1.0,77.0,-7.0,56.0,-4.0,38.0,6.0,-3.0,7.0,55.2,-4.4,88.0
1.0,0.0,62.0,8.0,90.0,11.0,119.0,17.0,64.0,7.0,61.0,12.0,9.0,84.0,40.0,11.0,47.0,7.0,0.0,18.0,53.0,13.0,75.0,8.0,79.0,34.0,58.2,6.8,89.0
1.0,0.0,39.0,0.0,34.0,-8.0,38.0,-10.0,50.0,-3.0,30.0,-13.0,57.0,-50.0,48.0,-6.0,14.0,-4.0,-16.0,2.0,62.0,-2.0,149.0,1.0,148.0,-41.0,51.4,4.0,90.0
1.0,0.0,63.0,-1.0,42.0,0.0,-14.0,0.0,61.0,-12.0,65.0,-29.0,99.0,-78.0,68.0,-20.0,20.0,-2.0,17.0,-5.0,57.0,-18.0,34.0,-17.0,141.0,-3.0,72.8,-8.0,91.0
1.0,0.0,80.0,16.0,84.0,22.0,92.0,29.0,85.0,0.0,64.0,-3.0,95.0,-97.0,74.0,14.0,87.0,11.0,34.0,27.0,77.0,7.0,46.0,4.0,-2.0,11.0,82.2,10.2,92.0
1.0,0.0,43.0,4.0,51.0,1.0,88.0,-9.0,43.0,8.0,29.0,2.0,-2.0,-21.0,26.0,12.0,69.0,-9.0,164.0,-27.0,24.0,10.0,27.0,-6.0,27.0,-9.0,42.0,2.6,93.0
1.0,0.0,45.0,-17.0,33.0,-25.0,-2.0,-28.0,47.0,-6.0,54.0,-10.0,66.0,4.0,75.0,-20.0,98.0,-16.0,111.0,-40.0,62.0,-16.0,20.0,-3.0,-23.0,6.0,31.0,-0.8,94.0
1.0,0.0,23.0,-5.0,43.0,16.0,72.0,6.0,54.0,17.0,73.0,18.0,90.0,16.0,44.0,6.0,-1.0,2.0,-13.0,23.0,78.0,6.0,126.0,-8.0,124.0,-6.0,25.8,10.8,95.0
